date,buy_count,sell_count,hold_count,tickers,avg_strategy_score
2026-04-28,0,0,30,30,0.0
2026-04-27,0,0,30,30,0.0
2026-04-26,0,0,30,30,0.0
2026-04-25,0,0,30,30,0.0
2026-04-24,0,0,30,30,0.0
2026-04-23,0,0,30,30,0.0
2026-04-22,0,0,30,30,0.0
2026-04-21,0,0,30,30,0.0
2026-04-20,0,0,30,30,0.0
2026-04-19,0,0,30,30,0.0
2026-04-18,0,0,30,30,0.0
2026-04-17,0,0,30,30,0.0
2026-04-16,0,0,30,30,0.0
2026-04-15,0,0,30,30,0.0
2026-04-14,0,0,30,30,0.0
2026-04-13,0,0,30,30,0.0
2026-04-12,0,0,30,30,0.0
2026-04-11,0,0,30,30,0.0
2026-04-10,0,0,30,30,0.0
2026-04-08,0,0,30,30,0.0
2026-04-07,0,0,30,30,0.0
2026-04-06,0,0,30,30,0.0
2026-04-05,0,0,30,30,0.0
2026-04-04,0,0,30,30,0.0
2026-04-03,0,0,30,30,0.0
2026-04-02,0,0,30,30,0.0
2026-04-01,0,0,30,30,0.0
2026-03-31,10,4,16,30,0.96
2026-03-30,12,5,13,30,1.04
2026-03-29,11,5,14,30,1.0067
2026-03-28,11,5,14,30,1.0067
2026-03-27,10,5,15,30,0.8
2026-03-26,12,5,13,30,0.9333
2026-03-25,8,4,18,30,0.64
2026-03-24,11,4,15,30,1.0533
2026-03-23,14,4,12,30,1.4133
2026-03-22,13,4,13,30,1.48
2026-03-21,12,5,13,30,1.36
2026-03-06,6,6,18,30,0.2867
2026-03-05,1,3,6,10,-1.3
2026-03-04,0,1,9,10,0.42
2026-03-03,3,2,5,10,0.66
2026-03-02,1,2,7,10,-0.72
2026-03-01,1,3,6,10,-1.26
2026-02-28,1,2,7,10,-0.52
2026-02-27,0,2,8,10,-1.26
